board_id,chip_id,channel_id,detector_id,plane_type,strip_id,pedestal,noise_sigma,gain,polarity,status
3,3,72,1,1,235,-637.443,15.4816,1,1,0
3,3,73,1,1,203,-580.416,12.8188,1,1,0
3,3,74,1,1,171,-535.881,12.951,1,1,0
3,3,75,1,1,139,-502.256,12.9294,1,1,0
3,3,76,1,1,227,-629.869,14.4379,1,1,0
3,3,77,1,1,195,-570.217,14.0719,1,1,0
3,3,78,1,1,163,-538.669,12.2315,1,1,0
3,3,79,1,1,131,-487.117,13.8272,1,1,0
3,3,80,1,1,250,-665.733,14.2711,1,1,0
3,3,81,1,1,218,-592.113,12.8318,1,1,0
3,3,82,1,1,186,-550.532,12.0457,1,1,0
3,3,83,1,1,154,-520.138,12.0783,1,1,0
3,3,84,1,1,242,-661.483,13.3851,1,1,0
3,3,85,1,1,210,-599.059,12.7306,1,1,0
3,3,86,1,1,178,-548.018,11.815,1,1,0
3,3,87,1,1,146,-512.697,11.8135,1,1,0
3,3,88,1,1,234,-629.432,13.8788,1,1,0
3,3,89,1,1,202,-588.864,12.6186,1,1,0
3,3,90,1,1,170,-521.1,11.8205,1,1,0
3,3,91,1,1,138,-508.511,12.4201,1,1,0
3,3,92,1,1,226,-616.422,12.9666,1,1,0
3,3,93,1,1,194,-575.626,12.3702,1,1,0
3,3,94,1,1,162,-528.003,11.8784,1,1,0
3,3,95,1,1,130,-483.599,13.5446,1,1,0
3,3,96,1,1,249,-670.885,14.6462,1,1,0
3,3,97,1,1,217,-612.387,13.3572,1,1,0
3,3,98,1,1,185,-544.83,13.5146,1,1,0
3,3,99,1,1,153,-523.772,13.5806,1,1,0
3,3,100,1,1,241,-654.552,14.3899,1,1,0
3,3,101,1,1,209,-594.573,12.7177,1,1,0
3,3,102,1,1,177,-540.428,12.7683,1,1,0
3,3,103,1,1,145,-503.608,12.7931,1,1,0
3,3,104,1,1,233,-640.596,15.8513,1,1,0
3,3,105,1,1,201,-569.62,14.3251,1,1,0
3,3,106,1,1,169,-528.73,12.8872,1,1,0
3,3,107,1,1,137,-507.994,13.153,1,1,0
3,3,108,1,1,225,-626.03,14.2373,1,1,0
3,3,109,1,1,193,-564.429,13.9054,1,1,0
3,3,110,1,1,161,-526.478,12.468,1,1,0
3,3,111,1,1,129,-491.847,14.1662,1,1,0
3,3,112,1,1,248,-664.366,13.9472,1,1,0
3,3,113,1,1,216,-598.522,12.7162,1,1,0
3,3,114,1,1,184,-540.629,12.0583,1,1,0
3,3,115,1,1,152,-513.099,12.2854,1,1,0
3,3,116,1,1,240,-637.447,13.7558,1,1,0
3,3,117,1,1,208,-600.77,12.2068,1,1,0
3,3,118,1,1,176,-534.313,11.5786,1,1,0
3,3,119,1,1,144,-503.633,11.8793,1,1,0
3,3,120,1,1,232,-628.421,14.0135,1,1,0
3,3,121,1,1,200,-572.06,12.4242,1,1,0
3,3,122,1,1,168,-525.273,11.6002,1,1,0
3,3,123,1,1,136,-496.958,12.4999,1,1,0
3,3,124,1,1,224,-616.438,12.8476,1,1,0
3,3,125,1,1,192,-576.421,11.9433,1,1,0
3,3,126,1,1,160,-522.13,11.7344,1,1,0
3,3,127,1,1,128,-454.349,15.2976,1,1,0
